,product_name,qty,location,payment_mode,price,Time
594,"Itel A25 Pro 32 GB, 2 GB RAM, Gradation Green, Smartphone",1,678001,Credit Card,4599.0,year-2021_month-06
595,"Itel A25 Pro 32 GB, 2 GB RAM, Gradation Blue, Smartphone",1,678001,Credit Card,4599.0,year-2021_month-06
596," AZE 9 Kg Top Loading Semi-Automatic Washing Machine with Active Soak Function, 90SW01",1,400004,Credit Card,7823.33,year-2021_month-06
597,Samsung 1.5 Ton 5 Star 5-in-1 Convertible AR18AY5YATZ Inverter Split AC,1,690518,EMI,39558.28,year-2021_month-06
598, resQ Installation Service (No returns if installation not done by resQ),1,690518,EMI,1110.72,year-2021_month-06
599,"Realme Buds Classic Earphones, Black",1,500007,Credit Card,359.48,year-2021_month-06
600," AZE 9 Kg Top Loading Semi-Automatic Washing Machine with Active Soak Function, 90SW01",1,400004,Credit Card,7823.34,year-2021_month-06
601,Apple Watch Series 6 GPS - 44 mm Blue Aluminium Case with Deep Navy Sport Band,1,122018,Credit Card,42400.0,year-2021_month-06
602,"Apple MWP22HN/A Wireless Airpods Pro with Mic and Wireless Charging Case, White",1,302019,UPI,21390.0,year-2021_month-06
603,"AZE 9 Kg Top Loading Semi-Automatic Washing Machine with Active Soak Function, 90SW01",1,522503,Credit Card,7823.33,year-2021_month-06
604,"Lenovo Tab M10 FHD Plus 26.16 cm (10.3 inch) Tablet 4 GB, 128 GB, Platinum Grey, ZA6R0004IN",1,504208,Credit Card,18499.0,year-2021_month-06
605,Samsung 1 Ton 5 Star AR12TY5QAWK Inverter Split AC,1,690518,Credit Card,28581.63,year-2021_month-06
606,"Samsung Galaxy Tab S6 Lite (LTE) 26.31 cm (10.4 inch) Tablet 4 GB RAM, 64 GB, Blue, SM-P615NZBAINU",1,243006,Credit Card,31999.0,year-2021_month-06
607,"AZE 9 Kg Top Loading Semi-Automatic Washing Machine with Active Soak Function, 90SW01",1,522503,Credit Card,7823.34,year-2021_month-06
608,"OnePlus Nord CE 5G 128 GB, 8 GB RAM, Charcoal Ink, Smartphone",1,821115,CREDIT_CARD,24999.0,year-2021_month-06
609,"Sony WH-CH510 Wireless Headphones with 35 Hours Battery Life, Bluetooth Ver 5.0, Light Weight, Headset with mic for phone calls with Voice Assitant - (Blue)",1,110010,UPI,2990.0,year-2021_month-06
610,"Lenovo M10 HD 25.65 cm (10.1 inch) Wi-Fi Tablet 2 GB RAM, 32 GB, Black ZA4G0007IN",1,632602,Credit Card,10749.0,year-2021_month-06
611,Sony PlayStation 5 Console,1,400101,CREDIT_CARD,49990.0,year-2021_month-06
612,"Oppo F19 Pro 128 GB, 8 GB, Crystal Silver, Smartphone",1,517501,Credit Card,21490.0,year-2021_month-06
613,"6 Month: resQ Care Plan(RCP) Extended Warranty for Smart phones, 6 months",1,517501,Credit Card,1149.0,year-2021_month-06
614,Reconnect 2000 Watts Induction Cooktop RK2202,1,400058,CREDIT_CARD,2199.0,year-2021_month-06
615,"Itel A25 Pro 32 GB, 2 GB RAM, Gradation Blue, Smartphone",1,678001,CREDIT_CARD,4599.0,year-2021_month-06
616,"Itel A25 Pro 32 GB, 2 GB RAM, Gradation Green, Smartphone",1,678001,CREDIT_CARD,4599.0,year-2021_month-06
617,"Itel A25 Pro 32 GB, 2 GB RAM, Gradation Blue, Smartphone",1,678001,CREDIT_CARD,4599.0,year-2021_month-06
618,"Itel A25 Pro 32 GB, 2 GB RAM, Gradation Green, Smartphone",1,678001,CREDIT_CARD,4599.0,year-2021_month-06
619,"Dell 3505 Inspiron Laptop (AMD Ryzen 5 3450U/8GB/256GB SSD/AMD Radeon Vega Graphics/Windows 10/MSO/FHD), 39.62 cm (15.6 inch)",1,571236,CREDIT_CARD,41299.0,year-2021_month-06
620,"Apple MWP22HN/A Wireless Airpods Pro with Mic and Wireless Charging Case, White",1,302019,UPI,21390.0,year-2021_month-06
621,"realme X7 Max 5G 128 GB, 8 GB RAM, Milky Way, Smartphone",1,  GSTI,UPI,25999.0,year-2021_month-06
622,"Apple iPad 8th Gen 25.90 cm (10.2 inch) Wi-Fi Tablet, 32 GB, Space Grey MYL92HN/A",1,402107,Credit Card,28900.0,year-2021_month-06
623,"realme X7 Max 5G 128 GB, 8 GB RAM, Milky Way, Smartphone",1,533214,Credit Card,25999.0,year-2021_month-06
624,Belkin F3Y020BF2M HDMI-HDMI Cable,1,636455,Credit Card,699.0,year-2021_month-06
625,"Apple MWP22HN/A Wireless Airpods Pro with Mic and Wireless Charging Case, White",1,302019,UPI,21390.0,year-2021_month-06
626," AZE 9 Kg Top Loading Semi-Automatic Washing Machine with Active Soak Function, 90SW01",1,400004,Credit Card,7823.34,year-2021_month-06
